Binomial.1.2,Mass.Source.Formatted,Mass.Source.Original,Mass.Comparison.Source.Formatted,Mass.Comparison.Source.Original,Browsing.Grazing.Source.Formatted,Browsing.Grazing.Method,Browsing.Grazing.Notes,Browsing.Grazing.Source.Original,Fermentation.Type.Source.Formatted,Fermentation.Type.Source.Original,Substrate.Source.Formatted,Substrate.Source.Original,Food.Handling.Source.Formatted,Food.Handling.Source.Original,Foot.Type.Source.Formatted,Foot.Type.Source.Original,Herd.Size.Source.Formatted,Herd.Size.Source.Original,Digging.Rooting.Source.Formatted,Digging.Rooting.Source.Original,k_medoid_herbivore,Mass.Method,Mass.Comparison,Fermentation.Type.Method,Fermentation.Type.Notes,Substrate.Notes,Food.Handling,Food.Handling.Notes,Foot.Type.Coarse,Foot.Type.Notes,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Other.Notes
Protopithecus_brasiliensis,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Halenar 2012 Dissertation,Estimated Expert Species,,"Halenar, L. B. (2012). Paleobiology of Protopithecus brasiliensis, a Plus-Size Pleistocene Platyrrhine from Brazil by Lauren B . Halenar A dissertation submitted to the Graduate Faculty in Anthropology in partial fulfillment of the requirements for the degree of Doctor of Phil.",Extrapolated based on extant relatives,extrapolated based on extant relatives,Halenar 2011 The Anatomical Record,"Halenar, L.B. 2011. Reconstructing the locomotor repetoire of Protopithecus brasiliensis. II. Forelimb Morphology. The Anatomical Record 294: 2048-2063",NA,NA,Reported morphology Family,Reported morphology family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,NA,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Nothrotheriops_shastensis,Davis 2017 Proc. of the Royal Society B,"Davis, M. 2017. What North America‰Û¡Ì_å»s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Hansen 1978 Paleobiology,Reported Observed Species,Estimate based on Coprolites,"Hansen, R. M. (1978). Shasta ground sloth food habits, Rampart Cave, Arizona. Hansen Source: Paleobiology Paleobiology, 4(43), 302â€“319. Retrieved from http://www.jstor.org/stable/2400207",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",2,2,0,0,NA,NA,absent,Adaptations absent,,NA
Kolpochoerus_majus,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,Harris and Cerling 2006 Journal of Zoology,Estimated Crandiodental + Isotopes (C13) Genus,the only kolpochoerus discussed is K. limnetes.,"Harris, J. M., & Cerling, T. E. (n.d.). Dietary adaptations of extant and Neogene African suids. https://doi.org/10.1017/S0952836902000067",Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,Souron et al. 2015 Acta Palaeontological Polonica,Souron et al. 2015,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,NA,NA,rooting,,Probably rooted significantly (Souron et al. 2015),
Alcelaphus_buselaphus,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Hempson et al. 2015 Science,Estimated,NA,11,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Oryx_beisa,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Hempson et al. 2015 Science,Estimated,NA,11,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,1,0,1,Gregarious,NA,,,,NA
Eudorcas_albonotata,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Hempson et al. 2015 Science,Estimated,NA,11,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Phacochoerus_aethiopicus,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Hempson et al. 2015 Science; IUCN Redlist,Estimated,Handbook of the mammals of the world says nothing is known. We follow hempson et al. who classify it as a variable grazer,"11, 98",Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Hempson et al. 2015 Science; IUCN Redlist,"11, 98",yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,2,0,2,Gregarious,NA,rooting,,,NA
Sus_philippensis,Groves 1997 Zoological Journal of the Linnean Society,Zoological Journal of the Linnean Society 120: 163-191 (1997),Groves 1997 Zoological Journal of the Linnean Society,Zoological Journal of the Linnean Society 120: 163-191 (1997),Imputed,Imputed,NA,NA,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Oliver 1993 Island Press,20,Inferred from extant relatives,Inferred from extant relatives,yes,Assumed isometric based on skull size,Sus_cebifrons,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,3,Gregarious,"Almost nothing is know about the social behaviour of this species. The source I am quoting is hence is not an original source. The original source is: 'Guide to Philippine flora and fauna: Birds and Mammals', but this book could not be located",rooting,,,NA
Sus_oliveri,Groves 1997 Zoological Journal of the Linnean Society,Zoological Journal of the Linnean Society 120: 163-191 (1997),Groves 1997 Zoological Journal of the Linnean Society,Zoological Journal of the Linnean Society 120: 163-191 (1997),Imputed,Imputed,NA,NA,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Extrapolated Genus,extrapolated.genus.mode,Inferred from extant relatives,Inferred from extant relatives,yes,Assumed isometric based on skull size,Sus_cebifrons,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,3,Gregarious,NA,rooting,,,NA
Papio_kindae,Wilson and Mittermeier 2013 Handbook of the Mammals of the World,"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.",NA,NA,Imputed,Imputed,NA,Imputed,Hume 2002 Acta Zoologica Sinica; Lambert 1998 Evolutionary Anthropology,"2, 3",Mittermeier et al. 2013 Handbook of the Mammals of the World,14,NA,NA,Reported morphology Family,Reported morphology family,Mittermeier et al. 2013 Handbook of the Mammals of the World,14,Mittermeier et al. 2013 Handbook of the Mammals of the World,14,yes,Reported,NA,Reported Family,NA,NA,NA,,soft,,3,3,0,3,Gregarious,NA,Rooting,,,NA
Sus_brachgnathus,"Considered a small pig by Hardjasasmita, Suidae in Indonesia, Scripta Geology 85 (1987)","Considered a small pig by Hardjasasmita, Suidae in Indonesia, Scripta Geology 85 (1987)",NA,NA,Imputed,Imputed,NA,No data found,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,As relative of suggested similar size,NA,Reported Family,NA,Inferred,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Elephas_cypriotes,"Davies and Lister 2001 The World of Elephants International Congress (Relative size change is taken from this abstract, but the size of Elephas antiquus which it is compared with is taken from elsewhere)","Palaeoloxodon cypriotes, the dwarf elephant of Cyprus: size and scaling comparisons with P. falconeri (Sicily-Malta) and mainland P. antiquus, conference sbstract. (Reative size change is taken from this abstract, but the size of Elephas antiquus which it is compared with is taken from elsewhere)",NA,NA,Imputed,Imputed,,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Heavy use of caves,Proboscis,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Muntiacus_montanus,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,Imputed,Imputed,"This species was seen as subspecies of M. muntjak, so we use this species as a proxy",Imputed,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,Source sees this species as subspecies of of M. munjtak. We assume herd size is similar to M. muntjak,,,,NA
Muntiacus_vaginalis,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,Imputed,Imputed,"This species was seen as subspecies of M. muntjak, so we use this species as a proxy",Imputed,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,0,Solitary/pairs,Source sees this species as subspecies of of M. munjtak. We assume herd size is similar to M. muntjak,,,,NA
Semnopithecus_dussumieri,Mittermeier et al. 2013 Handbook of the Mammals of the World (as S. hypoleucus northern form),"Mittermeier RA, Rylands AB,  Wilson DE Handbook of the Mammals of the World - Volume 3 (2013) (as S. hypoleucus northern form)",NA,NA,Imputed,Imputed,NA,NA,Hume 2002 Acta Zoologica Sinica; Lambert 1998 Evolutionary Anthropology; Nijboer and Clauss 2006 Thesis,"2,3,99",Wilman et al. 2014 Ecology,EltonTraits1.0,NA,NA,Reported morphology Genus,Reported morphology genus,Extrapolated Genus,extrapolated.genus.mode,NA,,yes,Reported,NA,Reported Subfamily,Colobin monkeys appear to be the sole primate group that has developed FG fermentation,NA,NA,,soft,,0,0,0,0,Gregarious,NA,,,,NA
Bubalus_quarlesi,Rozzi 2017 Quaternary Science Reviews,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA,Imputed,Imputed,It is not clear whether this is a separate species to B. mindorensis or not. As a result it is difficult to obtain precise information for this species. We consider its traits to be the same,NA,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Solitary/pairs,"Handbook of the mammals of the world indicates this is uncertain, as very little is known about the species",,,,NA
Hystrix_javanica,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Imputed,Imputed,NA,NA,Hume 2002 Acta Zoologica Sinica,2,Wilman et al. 2014 Ecology,EltonTraits1.0,NA,NA,Reported morphology Family,Reported morphology family,Extrapolated Genus,extrapolated.genus.mode,Wilson et al. 2016 Handbook of the Mammals of the World,36,yes,Reported,NA,Reported Order,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters",NA,NA,,soft,,0,3,0,3,Gregarious,NA,Rooting,,,NA
Mazama_nana,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Imputed,Imputed,Handbook of the mammals of the world (source 1) says nothing it know but diet must be similar to that of other Mazam species.,NA,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Mazama_bricenii,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Imputed,Imputed,Handbook of the mammals of the world (source 1) says nothing it know but diet must be similar to that of other Mazam species.,NA,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Trachypithecus_shortridgei,Smith et al. 2008 Princeton University Press,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Imputed,Imputed,NA,Imputed,Hume 2002 Acta Zoologica Sinica; Lambert 1998 Evolutionary Anthropology; Nijboer and Clauss 2006 Thesis,"2,3,99",Mittermeier et al. 2013 Handbook of the Mammals of the World,14,NA,NA,Reported morphology Genus,Reported morphology genus,Minhas et al. 2012 Pakistan Journal of Zoology,91,NA,,yes,Reported,NA,Reported Subfamily,Colobin monkeys appear to be the sole primate group that has developed FG fermentation,NA,NA,,soft,,0,0,0,0,Gregarious,NA,,,,NA
Muknalia_minima,Stinnesbeck 2017 Journal of South Amercan Earth Sciences,"Stinnesbeck, S. R., et al. 2017. A new fossil peccary from the Pleistocene-Holocene boundary of the eastern Yucatan Peninsula, Mexico. Journal of South American Earth Sciences 77:341-349.",NA,NA,Imputed,Imputed,NA,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Inferred,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Antifer_ultra,The genus has few fossils and the only certain seperation from Blastocerus is based on antler morphology,The genus has few fossils and the only certain seperation from Blastocerus is based on antler morphology,NA,NA,Imputed,Imputed,,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,As relative of suggested similar size,NA,Reported Family,NA,"Figueroa (2016): Open, brushy, savanna habitats",Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Equus_ovodovi,The species was misidentified as Equus hydruntinus until genetic studies were made,The species was misidentified as Equus hydruntinus until genetic studies were made,NA,NA,Imputed,Imputed,,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,As relative of suggested similar size,Equus_hydruntinus,Reported Family,NA,NA,Mouth,,hoofed,Unidactyl hoof,NA,NA,NA,NA,NA,NA,,,,NA
Phanourios_minutes,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Imputed,Imputed,NA,Imputed,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Capricornis_rubidus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Imputed,Imputed,NA,Imputed,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Extrapolated Genus,extrapolated.genus.mode,NA,,yes,Assumed isometric based on head-body length,Capricornis_sumatraensis,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Semnopithecus_ajax,Wilson and Mittermeier 2013 Handbook of the Mammals of the World,"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.",NA,NA,Imputed,Imputed,Handbook of the mammals of the worlds(source 14) says that the diet should be similar to that of S. hector,Imputed,Hume 2002 Acta Zoologica Sinica; Lambert 1998 Evolutionary Anthropology; Nijboer and Clauss 2006 Thesis,"2,3,99",Mittermeier et al. 2013 Handbook of the Mammals of the World,14,NA,NA,Reported morphology Genus,Reported morphology genus,Minhas et al. 2012 Pakistan Journal of Zoology,91,NA,,yes,Reported,NA,Reported Subfamily,Colobin monkeys appear to be the sole primate group that has developed FG fermentation,NA,NA,,soft,,0,0,0,0,Gregarious,NA,,,,NA
Bubalus_palaeokerabau,Hoojier 1958 Zoologische Verhandelingen van de Museum Leiden,Zoologische Verhandelingen van de Museum Leiden 38:1-112 (1958),Hoojier 1958 Zoologische Verhandelingen van de Museum Leiden,Zoologische Verhandelingen van de Museum Leiden 38:1-112 (1958),Janssen et al. 2016 Quaternary Science Reviews,Estimated Isotopes (C13) Species,NA,"Janssen, R., Joordens, J. C. A., Koutamanis, D. S., Puspaningrum, M. R., de Vos, J., van der Lubbe, J. H. J. L., â€_ Vonhof, H. B. (2016). Tooth enamel stable isotopes of Holocene and Pleistocene fossil fauna reveal glacial and interglacial paleoenvironments of hominins in Indonesia. Quaternary Science Reviews, 144, 145â€“154. https://doi.org/10.1016/J.QUASCIREV.2016.02.028",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,Assumed isometric based on length of metacarpal,Bubalus_arnee,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
Wallabia_kitcheneri,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Johnson and Prideaux 2004 Austral Ecology,Estimated Expert Genus,NA,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology,Inferred from Johnson & Prideaux,NA,NA,Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B,Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,unreported,NA,,soft,"Like Macropus kangaroos, Protemnodon could be considered plantigrade or digitigrade",NA,NA,NA,NA,NA,NA,,,,NA
Warendja_wakefieldi,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,Johnson and Prideaux 2004 Austral Ecology,Estimated Expert Species,No empirical evidence,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology,Inferred from Johnson & Prideaux 2004,NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,Woolnough and Steele 2001 Mammal Review,Woolnough and Steele 2001,yes,Imputed,NA,Reported Family,NA,forest,Mouth,,soft,,NA,NA,NA,NA,NA,NA,Not considered a burrower,Morphology,Lacks the morphology for effective burrowing (Woolnough and Steele 2001),
Protemnodon_hopei,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Johnson and Prideaux 2004 Austral Ecology,Estimated Expert Species,NA,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",NA,NA,Carey et al. 2011 Quaternary Science Reviews,Carey et al. 2011 Quaternary Science Reviews,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,unreported,NA,,soft,"Like Macropus kangaroos, Protemnodon could be considered plantigrade or digitigrade",NA,NA,NA,NA,NA,NA,,,,NA
Procoptodon_rapha,Johnson and Prideaux 2004 Austral Ecology,"Johnson, C. N., et al. 2004. Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology 29: 553-557.",NA,NA,Johnson and Prideaux 2004 Austral Ecology,Estimated Expert Species,"""""Browser"""". No better information","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,forest,NA,,hoofed,Monodactyl hoof-like 'unguligrade',NA,NA,NA,NA,NA,NA,,,,NA
Procoptodon_oreas,Webb 2008 Boreas,"Webb, S. 2008. Megafauna demography and late Quaternary climatic change in Australia: a predisposition to extinction. Boreas 37:329-345.",NA,NA,Johnson and Prideaux 2004 Austral Ecology,Estimated Expert Species,"""""Browser"""". No better information","Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Johnson and Prideaux 2004 Austral Ecology,"Inferred from Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,forest,NA,,hoofed,Monodactyl hoof-like 'unguligrade',NA,NA,NA,NA,NA,NA,,,,NA
